规格类型,vCPU,Memory,按量计费,包月,包1年,包2年,包3年,价格单位,地域
"vedb.mysql.g4.2xlarge","16核","64GiB","14.0139","6727.5","80730","161460","242190","个","亚太东南（雅加达）"
"vedb.mysql.g4.2xlarge","16核","64GiB","11.17","5362.5","64350","128700","193050","个","亚太东南（柔佛）"
"vedb.mysql.g4.4xlarge","32核","128GiB","13.54","6450","77400","154800","232200","个","华东2（上海）"
"vedb.mysql.g4.4xlarge","32核","128GiB","26.92","12923","155076","310152","465228","个","中国香港"
"vedb.mysql.g4.4xlarge","32核","128GiB","13.54","6450","77400","154800","232200","个","华南1（广州）"
"vedb.mysql.g4.4xlarge","32核","128GiB","13.54","6450","77400","154800","232200","个","华北2（北京）"
"vedb.mysql.g4.4xlarge","32核","128GiB","28.0278","13351.5","160218","320436","480654","个","亚太东南（雅加达）"
"vedb.mysql.g4.4xlarge","32核","128GiB","22.34","10642.5","127710","255420","383130","个","亚太东南（柔佛）"
"vedb.mysql.g8.2xlarge","16核","128GiB","10.83","5140","61680","123360","185040","个","华东2（上海）"
"vedb.mysql.g8.2xlarge","16核","128GiB","20.58","9766","117192","234384","351576","个","中国香港"
"vedb.mysql.g8.2xlarge","16核","128GiB","10.83","5140","61680","123360","185040","个","华南1（广州）"
"vedb.mysql.g8.2xlarge","16核","128GiB","10.83","5140","61680","123360","185040","个","华北2（北京）"
"vedb.mysql.g8.2xlarge","16核","128GiB","17.05725","8095.5","97146","194292","291438","个","亚太东南（雅加达）"
"vedb.mysql.g8.2xlarge","16核","128GiB","17.87","8481","101772","203544","305316","个","亚太东南（柔佛）"
,
,
,
规格类型,vCPU,Memory,按量计费,包月,包1年,包2年,包3年,价格单位,地域
"vedb.mysql.x4.medium","2核","8GiB","0.59","280","3360","6720","10080","个","华东2（上海）"
"vedb.mysql.x4.medium","2核","8GiB","1.03","490","5880","11760","17640","个","中国香港"
"vedb.mysql.x4.medium","2核","8GiB","0.59","280","3360","6720","10080","个","华南1（广州）"
"vedb.mysql.x4.medium","2核","8GiB","0.59","280","3360","6720","10080","个","华北2（北京）"
"vedb.mysql.x4.medium","2核","8GiB","0.86553","410.76","4929.12","9858.24","14787.36","个","亚太东南（雅加达）"
"vedb.mysql.x4.medium","2核","8GiB","1.03","490","5880","11760","17640","个","亚太东南（柔佛）"
"vedb.mysql.x4.large","4核","16GiB","2.09","1000","12000","24000","36000","个","华东2（上海）"
"vedb.mysql.x4.large","4核","16GiB","3.44","1900","22800","45600","68400","个","中国香港"
"vedb.mysql.x4.large","4核","16GiB","2.09","1000","12000","24000","36000","个","华南1（广州）"
"vedb.mysql.x4.large","4核","16GiB","2.09","1000","12000","24000","36000","个","华北2（北京）"
"vedb.mysql.x4.large","4核","16GiB","3.29175","1575","18900","37800","56700","个","亚太东南（雅加达）"
"vedb.mysql.x4.large","4核","16GiB","3.4485","1650","19800","39600","59400","个","亚太东南（柔佛）"
"vedb.mysql.x4.xlarge","8核","32GiB","4.17","2000","24000","48000","72000","个","华东2（上海）"
"vedb.mysql.x4.xlarge","8核","32GiB","6.87","3800","45600","91200","136800","个","中国香港"
"vedb.mysql.x4.xlarge","8核","32GiB","4.17","2000","24000","48000","72000","个","华南1（广州）"
"vedb.mysql.x4.xlarge","8核","32GiB","4.17","2000","24000","48000","72000","个","华北2（北京）"
"vedb.mysql.x4.xlarge","8核","32GiB","6.56775","3150","37800","75600","113400","个","亚太东南（雅加达）"
"vedb.mysql.x4.xlarge","8核","32GiB","6.8805","3300","39600","79200","118800","个","亚太东南（柔佛）"
"vedb.mysql.x4.2xlarge","16核","64GiB","8.34","4000","48000","96000","144000","个","华东2（上海）"
"vedb.mysql.x4.2xlarge","16核","64GiB","15.84","7600","91200","182400","273600","个","中国香港"
"vedb.mysql.x4.2xlarge","16核","64GiB","8.34","4000","48000","96000","144000","个","华南1（广州）"
"vedb.mysql.x4.2xlarge","16核","64GiB","8.34","4000","48000","96000","144000","个","华北2（北京）"
"vedb.mysql.x4.2xlarge","16核","64GiB","13.1355","6300","75600","151200","226800","个","亚太东南（雅加达）"
"vedb.mysql.x4.2xlarge","16核","64GiB","13.761","6600","79200","158400","237600","个","亚太东南（柔佛）"
"vedb.mysql.x4.4xlarge","32核","128GiB","16.67","8000","96000","192000","288000","个","华东2（上海）"
"vedb.mysql.x4.4xlarge","32核","128GiB","31.67","15200","182400","364800","547200","个","中国香港"
"vedb.mysql.x4.4xlarge","32核","128GiB","16.67","8000","96000","192000","288000","个","华南1（广州）"
"vedb.mysql.x4.4xlarge","32核","128GiB","16.67","8000","96000","192000","288000","个","华北2（北京）"
"vedb.mysql.x4.4xlarge","32核","128GiB","26.25525","12600","151200","302400","453600","个","亚太东南（雅加达）"
"vedb.mysql.x4.4xlarge","32核","128GiB","27.5055","13200","158400","316800","475200","个","亚太东南（柔佛）"
"vedb.mysql.x4.8xlarge","64核","256GiB","37.9","15845.05","190140.6","380281.2","570421.8","个","华东2（上海）"
"vedb.mysql.x4.8xlarge","64核","256GiB","60.64","25352.08","304224.96","608449.92","912674.88","个","中国香港"
"vedb.mysql.x4.8xlarge","64核","256GiB","37.9","15845.05","190140.6","380281.2","570421.8","个","华南1（广州）"
"vedb.mysql.x4.8xlarge","64核","256GiB","37.9","15845.05","190140.6","380281.2","570421.8","个","华北2（北京）"
"vedb.mysql.x4.8xlarge","64核","256GiB","78.453","32799.25","393591.04","787182.08","1180773.13","个","亚太东南（雅加达）"
"vedb.mysql.x4.8xlarge","64核","256GiB","61.4","25352.08","304224.96","608449.92","912674.88","个","亚太东南（柔佛）"
"vedb.mysql.x8.large","4核","32GiB","3.34","1600","19200","38400","57600","个","华东2（上海）"
"vedb.mysql.x8.large","4核","32GiB","6.44","3087","37044","74088","111132","个","中国香港"
"vedb.mysql.x8.large","4核","32GiB","3.34","1600","19200","38400","57600","个","华南1（广州）"
"vedb.mysql.x8.large","4核","32GiB","3.34","1600","19200","38400","57600","个","华北2（北京）"
"vedb.mysql.x8.large","4核","32GiB","5.2605","2520","30240","60480","90720","个","亚太东南（雅加达）"
"vedb.mysql.x8.large","4核","32GiB","5.511","2640","31680","63360","95040","个","亚太东南（柔佛）"
"vedb.mysql.x8.xlarge","8核","64GiB","6.67","3200","38400","76800","115200","个","华东2（上海）"
"vedb.mysql.x8.xlarge","8核","64GiB","8.67","4800","57600","115200","172800","个","中国香港"
"vedb.mysql.x8.xlarge","8核","64GiB","6.67","3200","38400","76800","115200","个","华南1（广州）"
"vedb.mysql.x8.xlarge","8核","64GiB","6.67","3200","38400","76800","115200","个","华北2（北京）"
"vedb.mysql.x8.xlarge","8核","64GiB","8.3375","4000","48000","96000","144000","个","亚太东南（雅加达）"
"vedb.mysql.x8.xlarge","8核","64GiB","11.0055","5280","63360","126720","190080","个","亚太东南（柔佛）"
"vedb.mysql.x8.2xlarge","16核","128GiB","13.34","6400","76800","153600","230400","个","华东2（上海）"
"vedb.mysql.x8.2xlarge","16核","128GiB","17.34","9600","115200","230400","345600","个","中国香港"
"vedb.mysql.x8.2xlarge","16核","128GiB","13.34","6400","76800","153600","230400","个","华南1（广州）"
"vedb.mysql.x8.2xlarge","16核","128GiB","13.34","6400","76800","153600","230400","个","华北2（北京）"
"vedb.mysql.x8.2xlarge","16核","128GiB","16.675","8000","96000","192000","288000","个","亚太东南（雅加达）"
"vedb.mysql.x8.2xlarge","16核","128GiB","22.011","10560","126720","253440","380160","个","亚太东南（柔佛）"
"vedb.mysql.x8.4xlarge","32核","256GiB","26.67","12800","153600","307200","460800","个","华东2（上海）"
"vedb.mysql.x8.4xlarge","32核","256GiB","34.67","19200","230400","460800","691200","个","中国香港"
"vedb.mysql.x8.4xlarge","32核","256GiB","26.67","12800","153600","307200","460800","个","华南1（广州）"
"vedb.mysql.x8.4xlarge","32核","256GiB","26.67","12800","153600","307200","460800","个","华北2（北京）"
"vedb.mysql.x8.4xlarge","32核","256GiB","33.3375","16000","192000","384000","576000","个","亚太东南（雅加达）"
"vedb.mysql.x8.4xlarge","32核","256GiB","44.0055","21120","253440","506880","760320","个","亚太东南（柔佛）"
"vedb.mysql.x8.6xlarge","48核","384GiB","42.5","18200","218400","436800","655200","个","华东2（上海）"
"vedb.mysql.x8.6xlarge","48核","384GiB","55.24","27300","327600","655200","982800","个","中国香港"
"vedb.mysql.x8.6xlarge","48核","384GiB","42.5","18200","218400","436800","655200","个","华南1（广州）"
"vedb.mysql.x8.6xlarge","48核","384GiB","42.5","18200","218400","436800","655200","个","华北2（北京）"
"vedb.mysql.x8.6xlarge","48核","384GiB","87.975","37674","452088","904176","1356264","个","亚太东南（雅加达）"
"vedb.mysql.x8.6xlarge","48核","384GiB","68.85","29120","349440","698880","1048320","个","亚太东南（柔佛）"
"vedb.mysql.x8.8xlarge","64核","512GiB","58.67","28160","337920","675840","1013760","个","华东2（上海）"
"vedb.mysql.x8.8xlarge","64核","512GiB","88","42240","506880","1013760","1520640","个","中国香港"
"vedb.mysql.x8.8xlarge","64核","512GiB","58.67","28160","337920","675840","1013760","个","华南1（广州）"
"vedb.mysql.x8.8xlarge","64核","512GiB","58.67","28160","337920","675840","1013760","个","华北2（北京）"
"vedb.mysql.x8.8xlarge","64核","512GiB","73.3375","35200","422400","844800","1267200","个","亚太东南（雅加达）"
"vedb.mysql.x8.8xlarge","64核","512GiB","95.05","45056","540672","1081344","1622016","个","亚太东南（柔佛）"
,
,
,
类型,存储规格码,按量计费（元/GiB/小时）,包年包月（元/GiB/月）,地域
"集群分布式存储","vedb.mysql.volume.clusterpool","0.005149","1.48","亚太东南（雅加达）"
"集群分布式存储","vedb.mysql.volume.clusterpool","0.008019","2.31","亚太东南（柔佛）"
"集群分布式存储","vedb.mysql.volume.clusterpool","0.00486","1.4","华南1（广州）"
"集群分布式存储","vedb.mysql.volume.clusterpool","0.00542","1.56","中国香港"
"集群分布式存储","vedb.mysql.volume.clusterpool","0.00486","1.4","华北2（北京）"
"集群分布式存储","vedb.mysql.volume.clusterpool","0.00486","1.4","华东2（上海）"
